,time,tc_1,tc_2
0,0.0,21.2,21.1
1,1.0,21.2,21.1
2,2.0,21.1,21.1
3,3.0,21.1,21.0
4,4.0,21.1,21.0
5,5.0,21.1,21.0
6,6.0,21.1,21.0
7,7.0,21.1,21.0
8,8.0,21.1,21.0
9,9.0,21.1,20.9
10,10.0,21.1,20.9
11,11.0,21.1,20.9
12,12.0,21.1,20.9
13,13.0,21.1,20.9
14,14.0,21.1,20.9
15,15.0,21.1,20.9
16,16.0,21.1,20.9
17,17.0,21.1,20.9
18,18.0,21.1,20.9
19,19.0,21.1,20.9
20,20.0,21.1,20.9
21,21.0,21.1,20.9
22,22.0,21.1,20.9
23,23.0,21.1,20.9
24,24.0,21.1,20.9
25,25.0,21.1,20.9
26,26.0,21.1,20.9
27,27.0,21.1,20.9
28,28.0,21.1,20.9
29,29.0,21.1,20.9
30,30.0,21.1,20.9
31,31.0,21.1,20.9
32,32.0,21.1,20.9
33,33.0,21.1,20.9
34,34.0,21.1,20.9
35,35.0,21.1,20.9
36,36.0,21.1,20.9
37,37.0,21.1,20.9
38,38.0,21.1,20.9
39,39.0,21.1,20.9
40,40.0,21.1,20.9
41,41.0,21.1,20.9
42,42.0,21.1,20.9
43,43.0,21.1,20.9
44,44.0,21.1,20.9
45,45.0,21.1,20.9
46,46.0,21.1,20.9
47,47.0,21.1,20.9
48,48.0,21.1,20.9
49,49.0,21.1,20.9
50,50.0,21.1,20.9
51,51.0,21.1,20.9
52,52.0,21.1,20.9
53,53.0,21.1,20.9
54,54.0,21.1,20.9
55,55.0,21.2,20.9
56,56.0,21.2,20.9
57,57.0,21.2,21.0
58,58.0,21.2,21.0
59,59.0,21.2,21.0
60,60.0,21.2,21.0
61,61.0,21.2,21.1
62,62.0,22.1,21.1
63,63.0,22.1,21.1
64,64.0,23.2,21.2
65,65.0,24.2,21.3
66,66.0,25.4,21.5
67,67.0,26.6,21.7
68,68.0,27.8,22.0
69,69.0,29.0,22.0
70,70.0,30.1,22.3
71,71.0,30.1,22.6
72,72.0,31.6,23.0
73,73.0,32.7,23.3
74,74.0,34.0,23.7
75,75.0,35.1,24.0
76,76.0,36.3,24.4
77,77.0,37.5,24.4
78,78.0,38.7,24.7
79,79.0,38.7,25.1
80,80.0,40.2,25.4
81,81.0,41.3,25.7
82,82.0,42.5,26.1
83,83.0,43.7,26.4
84,84.0,44.9,26.8
85,85.0,46.0,26.8
86,86.0,47.2,27.1
87,87.0,47.2,27.5
88,88.0,48.6,27.8
89,89.0,49.7,28.2
90,90.0,50.9,28.5
91,91.0,52.1,28.8
92,92.0,53.1,29.2
93,93.0,53.1,29.2
94,94.0,54.6,29.5
95,95.0,55.7,29.8
96,96.0,56.8,30.2
97,97.0,57.8,30.5
98,98.0,58.9,30.8
99,99.0,60.1,30.8
100,100.0,61.1,31.2
101,101.0,61.1,31.5
102,102.0,62.4,31.8
103,103.0,63.5,32.1
104,104.0,64.5,32.4
105,105.0,65.5,32.7
106,106.0,66.7,33.1
107,107.0,67.7,33.1
108,108.0,68.7,33.4
109,109.0,68.7,33.7
110,110.0,69.9,34.0
111,111.0,70.9,34.3
112,112.0,71.9,34.6
113,113.0,72.9,34.9
114,114.0,74.0,35.2
115,115.0,75.0,35.2
116,116.0,75.8,35.5
117,117.0,75.8,35.8
118,118.0,77.1,36.1
119,119.0,78.1,36.4
120,120.0,79.0,36.7
121,121.0,80.0,36.9
122,122.0,80.8,37.2
123,123.0,80.8,37.2
124,124.0,81.8,37.5
125,125.0,82.8,37.8
126,126.0,83.7,38.1
127,127.0,84.6,38.3
128,128.0,85.4,38.6
129,129.0,86.4,38.6
130,130.0,87.3,38.9
131,131.0,87.3,39.1
132,132.0,88.3,39.4
133,133.0,89.2,39.7
134,134.0,90.1,39.9
135,135.0,90.9,40.2
136,136.0,91.9,40.4
137,137.0,92.6,40.4
138,138.0,93.5,40.7
139,139.0,93.5,41.0
140,140.0,94.5,41.2
141,141.0,95.4,41.5
142,142.0,96.1,41.8
143,143.0,96.9,42.0
144,144.0,97.7,42.3
145,145.0,98.6,42.3
146,146.0,99.3,42.5
147,147.0,99.3,42.7
148,148.0,100.4,43.0
149,149.0,101.1,43.2
150,150.0,101.9,43.5
151,151.0,102.7,43.7
152,152.0,103.4,44.0
153,153.0,103.4,44.0
154,154.0,104.2,44.2
155,155.0,105.0,44.5
156,156.0,105.8,44.7
157,157.0,106.5,44.9
158,158.0,107.3,45.1
159,159.0,108.0,45.1
160,160.0,108.7,45.4
161,161.0,108.7,45.6
162,162.0,109.6,45.8
163,163.0,110.3,46.0
164,164.0,111.0,46.3
165,165.0,111.6,46.5
166,166.0,112.3,46.7
167,167.0,113.0,46.7
168,168.0,113.7,47.0
169,169.0,113.7,47.2
170,170.0,114.5,47.4
171,171.0,115.2,47.6
172,172.0,115.8,47.8
173,173.0,116.5,48.0
174,174.0,117.1,48.2
175,175.0,117.7,48.2
176,176.0,118.4,48.4
177,177.0,118.4,48.7
178,178.0,119.1,48.9
179,179.0,119.8,49.1
