,time,tc_1,tc_2
0,0.0,23.6,23.4
1,1.0,23.6,23.4
2,2.0,23.6,23.4
3,3.0,23.6,23.4
4,4.0,23.6,23.4
5,5.0,23.6,23.4
6,6.0,23.6,23.4
7,7.0,23.6,23.4
8,8.0,23.6,23.4
9,9.0,23.6,23.4
10,10.0,23.6,23.4
11,11.0,23.6,23.4
12,12.0,23.6,23.4
13,13.0,23.6,23.4
14,14.0,23.6,23.4
15,15.0,23.6,23.4
16,16.0,23.6,23.4
17,17.0,23.6,23.4
18,18.0,23.6,23.4
19,19.0,23.6,23.4
20,20.0,23.6,23.4
21,21.0,23.6,23.4
22,22.0,23.6,23.4
23,23.0,23.6,23.4
24,24.0,23.6,23.4
25,25.0,23.6,23.4
26,26.0,23.6,23.4
27,27.0,23.6,23.4
28,28.0,23.6,23.4
29,29.0,23.6,23.4
30,30.0,23.6,23.4
31,31.0,23.6,23.4
32,32.0,23.6,23.4
33,33.0,23.6,23.4
34,34.0,23.6,23.4
35,35.0,23.6,23.4
36,36.0,23.6,23.4
37,37.0,23.6,23.4
38,38.0,23.6,23.4
39,39.0,23.6,23.4
40,40.0,23.6,23.4
41,41.0,23.6,23.4
42,42.0,23.6,23.4
43,43.0,23.6,23.4
44,44.0,23.6,23.4
45,45.0,23.6,23.4
46,46.0,23.6,23.4
47,47.0,23.6,23.4
48,48.0,23.6,23.4
49,49.0,23.6,23.4
50,50.0,23.6,23.4
51,51.0,23.6,23.4
52,52.0,23.6,23.4
53,53.0,23.6,23.4
54,54.0,23.6,23.4
55,55.0,23.6,23.4
56,56.0,23.6,23.4
57,57.0,23.6,23.4
58,58.0,23.7,23.4
59,59.0,23.7,23.4
60,60.0,23.7,23.4
61,61.0,23.7,23.5
62,62.0,24.8,23.5
63,63.0,25.8,23.5
64,64.0,27.0,23.5
65,65.0,28.3,23.5
66,66.0,29.7,23.6
67,67.0,31.2,23.6
68,68.0,32.5,23.6
69,69.0,32.5,23.6
70,70.0,34.3,23.7
71,71.0,35.6,23.7
72,72.0,37.1,23.8
73,73.0,38.5,23.8
74,74.0,39.9,23.8
75,75.0,39.9,23.9
76,76.0,41.5,24.0
77,77.0,42.9,24.2
78,78.0,44.3,24.3
79,79.0,45.5,24.5
80,80.0,47.0,24.6
81,81.0,48.4,24.6
82,82.0,49.7,24.8
83,83.0,49.7,24.9
84,84.0,51.4,25.0
85,85.0,52.8,25.2
86,86.0,54.2,25.3
87,87.0,55.5,25.4
88,88.0,56.8,25.6
89,89.0,58.1,25.6
90,90.0,59.5,25.7
91,91.0,59.5,25.8
92,92.0,61.3,25.9
93,93.0,62.8,26.0
94,94.0,64.2,26.1
95,95.0,65.6,26.1
96,96.0,67.1,26.1
97,97.0,68.5,26.1
98,98.0,70.0,26.1
99,99.0,70.0,26.1
100,100.0,71.8,26.0
101,101.0,73.0,26.0
102,102.0,74.3,26.0
103,103.0,75.7,26.1
104,104.0,76.5,26.1
105,105.0,76.5,26.2
106,106.0,78.0,26.3
107,107.0,79.4,26.4
108,108.0,80.6,26.6
109,109.0,81.9,26.7
110,110.0,83.3,26.8
111,111.0,84.4,26.8
112,112.0,85.5,27.0
113,113.0,85.5,27.1
114,114.0,87.2,27.1
115,115.0,88.5,27.2
116,116.0,89.8,27.3
117,117.0,91.1,27.3
118,118.0,92.1,27.4
119,119.0,93.3,27.4
120,120.0,94.5,27.5
121,121.0,94.5,27.5
122,122.0,95.9,27.6
123,123.0,97.1,27.7
124,124.0,98.1,27.8
125,125.0,99.3,27.9
126,126.0,100.5,28.0
127,127.0,101.5,28.0
128,128.0,102.5,28.1
129,129.0,102.5,28.2
130,130.0,104.0,28.3
131,131.0,105.1,28.4
132,132.0,106.0,28.5
133,133.0,107.0,28.6
134,134.0,108.2,28.6
135,135.0,108.2,28.7
136,136.0,109.7,28.7
137,137.0,110.9,28.8
138,138.0,111.9,28.8
139,139.0,112.7,28.9
140,140.0,113.6,29.0
141,141.0,114.6,29.0
142,142.0,115.5,29.1
143,143.0,115.5,29.3
144,144.0,116.6,29.5
145,145.0,117.5,29.6
146,146.0,118.4,29.9
147,147.0,119.3,30.0
148,148.0,120.4,30.2
149,149.0,121.6,30.2
150,150.0,122.5,30.3
151,151.0,122.5,30.5
152,152.0,123.8,30.6
153,153.0,124.7,30.7
154,154.0,125.8,30.7
155,155.0,126.8,30.7
156,156.0,127.8,30.8
157,157.0,128.6,30.8
158,158.0,129.4,30.8
159,159.0,129.4,30.9
160,160.0,130.2,31.0
161,161.0,131.1,31.1
162,162.0,131.7,31.3
163,163.0,131.7,31.6
164,164.0,132.4,31.6
165,165.0,132.4,33.5
166,166.0,133.2,33.5
167,167.0,134.1,33.5
168,168.0,134.1,34.2
169,169.0,135.8,34.2
170,170.0,135.8,34.2
171,171.0,135.8,34.2
172,172.0,135.8,36.0
173,173.0,135.8,36.0
174,174.0,137.3,36.0
175,175.0,137.3,36.8
176,176.0,138.1,36.8
177,177.0,138.1,37.7
178,178.0,138.1,38.6
179,179.0,139.0,38.6
