,time,tc_1,tc_2
0,0.0,23.2,23.3
1,1.0,23.2,23.3
2,2.0,23.2,23.3
3,3.0,23.2,23.3
4,4.0,23.2,23.2
5,5.0,23.1,23.2
6,6.0,23.1,23.2
7,7.0,23.1,23.2
8,8.0,23.1,23.2
9,9.0,23.1,23.2
10,10.0,23.1,23.2
11,11.0,23.1,23.2
12,12.0,23.1,23.1
13,13.0,23.1,23.1
14,14.0,23.1,23.1
15,15.0,23.1,23.1
16,16.0,23.1,23.1
17,17.0,23.1,23.1
18,18.0,23.1,23.1
19,19.0,23.1,23.1
20,20.0,23.1,23.1
21,21.0,23.1,23.1
22,22.0,23.1,23.1
23,23.0,23.1,23.1
24,24.0,23.1,23.1
25,25.0,23.1,23.1
26,26.0,23.1,23.1
27,27.0,23.1,23.1
28,28.0,23.1,23.1
29,29.0,23.1,23.1
30,30.0,23.1,23.1
31,31.0,23.1,23.1
32,32.0,23.1,23.1
33,33.0,23.1,23.1
34,34.0,23.1,23.1
35,35.0,23.1,23.1
36,36.0,23.1,23.1
37,37.0,23.1,23.1
38,38.0,23.1,23.1
39,39.0,23.1,23.1
40,40.0,23.1,23.1
41,41.0,23.1,23.1
42,42.0,23.1,23.1
43,43.0,23.1,23.1
44,44.0,23.1,23.1
45,45.0,23.1,23.1
46,46.0,23.1,23.1
47,47.0,23.1,23.1
48,48.0,23.1,23.1
49,49.0,23.1,23.1
50,50.0,23.1,23.1
51,51.0,23.1,23.1
52,52.0,23.1,23.1
53,53.0,23.1,23.1
54,54.0,23.1,23.1
55,55.0,23.1,23.1
56,56.0,23.1,23.1
57,57.0,23.1,23.1
58,58.0,23.1,23.1
59,59.0,23.1,23.1
60,60.0,23.1,23.1
61,61.0,23.2,23.1
62,62.0,23.2,23.1
63,63.0,23.3,23.2
64,64.0,24.5,23.2
65,65.0,24.5,23.3
66,66.0,25.5,23.3
67,67.0,26.1,23.4
68,68.0,26.7,23.4
69,69.0,27.3,23.5
70,70.0,27.3,23.6
71,71.0,28.0,23.7
72,72.0,28.7,23.9
73,73.0,29.3,24.0
74,74.0,29.9,24.1
75,75.0,30.6,24.3
76,76.0,30.6,24.3
77,77.0,31.8,24.4
78,78.0,31.8,24.6
79,79.0,32.6,24.7
80,80.0,33.3,24.9
81,81.0,33.3,25.0
82,82.0,34.5,25.1
83,83.0,34.5,25.3
84,84.0,34.5,25.3
85,85.0,35.8,25.4
86,86.0,36.6,25.6
87,87.0,36.6,25.7
88,88.0,37.7,25.8
89,89.0,38.3,26.0
90,90.0,39.0,26.0
91,91.0,39.0,26.1
92,92.0,39.0,26.3
93,93.0,40.3,26.4
94,94.0,40.9,26.5
95,95.0,41.6,26.7
96,96.0,42.2,26.9
97,97.0,42.8,27.0
98,98.0,43.4,27.0
99,99.0,44.0,27.2
100,100.0,44.0,27.3
101,101.0,44.8,27.5
102,102.0,45.4,27.6
103,103.0,46.0,27.8
104,104.0,46.0,27.9
105,105.0,47.1,28.0
106,106.0,47.7,28.0
107,107.0,48.3,28.2
108,108.0,48.3,28.3
109,109.0,49.0,28.5
110,110.0,49.6,28.6
111,111.0,50.3,28.8
112,112.0,50.3,28.9
113,113.0,51.3,29.0
114,114.0,51.3,29.0
115,115.0,52.1,29.2
116,116.0,52.7,29.3
117,117.0,52.7,29.4
118,118.0,53.8,29.5
119,119.0,53.8,29.7
120,120.0,54.8,29.7
121,121.0,54.8,29.8
122,122.0,54.8,30.0
123,123.0,56.0,30.1
124,124.0,56.0,30.3
125,125.0,57.1,30.4
126,126.0,57.1,30.6
127,127.0,58.0,30.7
128,128.0,58.0,30.7
129,129.0,59.0,30.9
130,130.0,59.0,31.0
131,131.0,59.7,31.1
132,132.0,59.7,31.3
133,133.0,60.8,31.4
134,134.0,60.8,31.6
135,135.0,61.7,31.7
136,136.0,62.3,31.7
137,137.0,62.3,31.8
138,138.0,62.3,31.9
139,139.0,63.3,32.1
140,140.0,63.3,32.2
141,141.0,64.4,32.3
142,142.0,64.4,32.4
143,143.0,65.3,32.4
144,144.0,65.3,32.5
145,145.0,65.3,32.7
146,146.0,66.3,32.8
147,147.0,66.3,32.9
148,148.0,67.2,33.1
149,149.0,67.2,33.2
150,150.0,68.1,33.2
151,151.0,68.1,33.4
152,152.0,68.1,33.5
153,153.0,69.0,33.7
154,154.0,69.0,33.8
155,155.0,69.8,34.0
156,156.0,69.8,34.1
157,157.0,70.6,34.3
158,158.0,70.6,34.3
159,159.0,71.4,34.5
160,160.0,71.4,34.6
161,161.0,71.4,34.8
162,162.0,72.4,34.9
163,163.0,72.4,35.1
164,164.0,73.1,35.2
165,165.0,73.1,35.3
166,166.0,73.9,35.3
167,167.0,73.9,35.4
168,168.0,73.9,35.6
169,169.0,74.7,35.7
170,170.0,74.7,35.9
171,171.0,75.4,36.0
172,172.0,75.4,36.2
173,173.0,76.2,36.2
174,174.0,76.2,36.3
175,175.0,76.8,36.5
176,176.0,76.8,36.6
177,177.0,77.4,36.8
178,178.0,77.4,36.9
179,179.0,78.2,37.0
180,180.0,78.2,37.0
181,181.0,78.8,37.1
182,182.0,78.8,37.2
183,183.0,78.8,37.4
184,184.0,79.5,37.5
185,185.0,79.5,37.7
186,186.0,80.2,37.8
187,187.0,80.2,38.0
188,188.0,80.9,38.0
189,189.0,80.9,38.1
190,190.0,80.9,38.3
191,191.0,81.6,38.5
192,192.0,81.6,38.6
193,193.0,82.3,38.7
194,194.0,82.3,38.9
195,195.0,83.0,39.0
196,196.0,83.0,39.0
197,197.0,83.6,39.1
198,198.0,83.6,39.2
199,199.0,83.6,39.4
200,200.0,84.3,39.5
201,201.0,84.3,39.6
202,202.0,85.0,39.7
203,203.0,85.0,39.7
204,204.0,85.0,39.8
205,205.0,85.7,39.9
206,206.0,85.7,40.0
207,207.0,86.4,40.1
208,208.0,86.4,40.2
209,209.0,87.0,40.3
210,210.0,87.0,40.3
211,211.0,87.7,40.4
212,212.0,87.7,40.5
213,213.0,87.7,40.6
214,214.0,88.5,40.7
215,215.0,88.5,40.7
216,216.0,89.2,40.8
217,217.0,89.2,40.9
218,218.0,89.2,40.9
219,219.0,90.1,41.1
220,220.0,90.1,41.2
221,221.0,90.1,41.3
222,222.0,90.8,41.4
223,223.0,90.8,41.5
224,224.0,91.5,41.5
225,225.0,91.5,41.6
226,226.0,91.5,41.6
227,227.0,92.2,41.7
228,228.0,92.2,41.8
229,229.0,92.2,41.9
230,230.0,92.8,42.0
231,231.0,92.8,42.2
232,232.0,92.8,42.3
233,233.0,93.6,42.3
234,234.0,93.6,42.4
235,235.0,93.6,42.6
236,236.0,94.3,42.7
237,237.0,94.3,42.8
238,238.0,94.9,42.9
239,239.0,94.9,43.0
240,240.0,94.9,43.0
241,241.0,95.6,43.1
242,242.0,95.6,43.2
243,243.0,95.6,43.3
244,244.0,96.3,43.4
245,245.0,96.3,43.6
246,246.0,96.3,43.7
247,247.0,97.0,43.8
248,248.0,97.0,43.8
249,249.0,97.0,43.9
250,250.0,97.0,44.1
251,251.0,97.7,44.2
252,252.0,97.7,44.3
253,253.0,97.7,44.4
254,254.0,98.3,44.5
255,255.0,98.3,44.7
256,256.0,98.3,44.7
257,257.0,99.0,44.8
258,258.0,99.0,44.9
259,259.0,99.0,45.1
260,260.0,99.0,45.2
261,261.0,99.7,45.4
262,262.0,99.7,45.5
263,263.0,99.7,45.5
264,264.0,99.7,45.6
265,265.0,100.4,45.8
266,266.0,100.4,45.9
267,267.0,100.4,46.1
268,268.0,101.0,46.2
269,269.0,101.0,46.4
270,270.0,101.0,46.4
271,271.0,101.7,46.5
272,272.0,101.7,46.6
273,273.0,101.7,46.7
274,274.0,101.7,46.8
275,275.0,102.3,47.0
276,276.0,102.3,47.1
277,277.0,102.3,47.2
278,278.0,103.0,47.2
279,279.0,103.0,47.3
280,280.0,103.0,47.4
281,281.0,103.0,47.5
282,282.0,103.6,47.7
283,283.0,103.6,47.8
284,284.0,103.6,47.9
285,285.0,104.3,48.0
286,286.0,104.3,48.0
287,287.0,104.3,48.1
288,288.0,104.3,48.2
289,289.0,105.0,48.3
290,290.0,105.0,48.5
291,291.0,105.0,48.6
292,292.0,105.0,48.7
293,293.0,105.8,48.7
294,294.0,105.8,48.8
295,295.0,105.8,48.9
296,296.0,105.8,49.1
297,297.0,106.4,49.2
298,298.0,106.4,49.3
299,299.0,106.4,49.4
300,300.0,106.4,49.4
301,301.0,107.1,49.6
302,302.0,107.1,49.7
303,303.0,107.1,49.8
304,304.0,107.1,49.9
305,305.0,107.7,50.0
306,306.0,107.7,50.2
307,307.0,107.7,50.3
308,308.0,108.3,50.3
309,309.0,108.3,50.4
310,310.0,108.3,50.5
311,311.0,108.3,50.6
312,312.0,108.3,50.8
313,313.0,109.0,50.9
314,314.0,109.0,51.0
315,315.0,109.0,51.1
316,316.0,109.0,51.1
317,317.0,109.8,51.2
318,318.0,109.8,51.4
319,319.0,109.8,51.5
320,320.0,109.8,51.6
321,321.0,109.8,51.7
322,322.0,110.5,51.8
323,323.0,110.5,51.8
324,324.0,110.5,51.9
325,325.0,110.5,52.0
326,326.0,111.1,52.1
327,327.0,111.1,52.2
328,328.0,111.1,52.3
329,329.0,111.1,52.5
330,330.0,111.8,52.5
331,331.0,111.8,52.6
332,332.0,111.8,52.7
333,333.0,111.8,52.8
334,334.0,111.8,52.9
335,335.0,112.5,53.0
336,336.0,112.5,53.1
337,337.0,112.5,53.2
338,338.0,112.5,53.2
339,339.0,113.2,53.3
340,340.0,113.2,53.4
341,341.0,113.2,53.6
342,342.0,113.2,53.7
343,343.0,113.2,53.8
344,344.0,113.9,53.9
345,345.0,113.9,54.0
346,346.0,113.9,54.0
347,347.0,113.9,54.2
348,348.0,113.9,54.3
349,349.0,114.6,54.4
350,350.0,114.6,54.5
351,351.0,114.6,54.6
352,352.0,114.6,54.7
353,353.0,115.2,54.7
354,354.0,115.2,54.8
355,355.0,115.2,54.9
356,356.0,115.2,55.0
357,357.0,115.2,55.1
358,358.0,115.9,55.2
359,359.0,115.9,55.3
360,360.0,115.9,55.3
361,361.0,115.9,55.4
362,362.0,115.9,55.5
363,363.0,115.9,56.1
364,364.0,115.8,56.1
365,365.0,115.7,56.1
366,366.0,115.5,56.1
367,367.0,115.2,56.1
368,368.0,114.9,56.1
369,369.0,114.6,56.1
370,370.0,114.6,56.1
371,371.0,114.1,56.2
372,372.0,113.7,56.2
373,373.0,113.3,56.2
374,374.0,112.8,56.2
375,375.0,112.4,56.2
376,376.0,112.0,56.2
377,377.0,112.0,56.1
378,378.0,111.5,56.1
379,379.0,111.1,56.0
380,380.0,110.7,56.0
381,381.0,110.2,56.0
382,382.0,109.8,55.9
383,383.0,109.4,55.9
384,384.0,108.9,55.9
