,time,tc_1,tc_2
0,0.0,20.9,20.8
1,1.0,20.9,20.8
2,2.0,20.9,20.8
3,3.0,20.9,20.8
4,4.0,20.9,20.8
5,5.0,20.9,20.8
6,6.0,20.9,20.8
7,7.0,20.9,20.8
8,8.0,20.9,20.8
9,9.0,20.9,20.8
10,10.0,20.9,20.8
11,11.0,20.9,20.8
12,12.0,20.9,20.8
13,13.0,20.9,20.8
14,14.0,20.9,20.8
15,15.0,20.9,20.8
16,16.0,20.9,20.8
17,17.0,20.9,20.8
18,18.0,20.9,20.8
19,19.0,20.9,20.8
20,20.0,20.9,20.8
21,21.0,20.9,20.8
22,22.0,20.9,20.8
23,23.0,20.9,20.8
24,24.0,20.9,20.8
25,25.0,20.9,20.8
26,26.0,20.9,20.8
27,27.0,20.9,20.8
28,28.0,20.9,20.8
29,29.0,20.9,20.8
30,30.0,20.9,20.8
31,31.0,20.9,20.8
32,32.0,20.9,20.8
33,33.0,20.9,20.8
34,34.0,20.9,20.8
35,35.0,20.9,20.8
36,36.0,20.9,20.8
37,37.0,20.9,20.8
38,38.0,20.9,20.8
39,39.0,20.9,20.8
40,40.0,20.9,20.8
41,41.0,20.9,20.8
42,42.0,20.9,20.8
43,43.0,20.9,20.8
44,44.0,20.9,20.8
45,45.0,20.9,20.8
46,46.0,20.9,20.8
47,47.0,20.9,20.8
48,48.0,20.9,20.8
49,49.0,20.9,20.8
50,50.0,20.9,20.8
51,51.0,20.9,20.8
52,52.0,20.9,20.8
53,53.0,20.9,20.8
54,54.0,20.9,20.8
55,55.0,20.9,20.8
56,56.0,20.9,20.9
57,57.0,20.9,20.9
58,58.0,20.9,20.9
59,59.0,21.0,20.9
60,60.0,21.0,20.9
61,61.0,21.0,20.9
62,62.0,21.0,20.9
63,63.0,21.2,20.9
64,64.0,21.3,20.9
65,65.0,22.8,21.0
66,66.0,22.8,21.0
67,67.0,23.8,21.1
68,68.0,23.8,21.2
69,69.0,24.6,21.3
70,70.0,24.6,21.5
71,71.0,25.7,21.6
72,72.0,26.4,21.8
73,73.0,26.4,22.0
74,74.0,27.5,22.0
75,75.0,28.1,22.2
76,76.0,28.1,22.3
77,77.0,28.8,22.5
78,78.0,29.4,22.6
79,79.0,29.4,22.8
80,80.0,30.7,23.0
81,81.0,31.3,23.2
82,82.0,31.3,23.2
83,83.0,31.3,23.3
84,84.0,32.5,23.5
85,85.0,33.2,23.7
86,86.0,33.9,23.9
87,87.0,33.9,24.1
88,88.0,35.0,24.3
89,89.0,35.0,24.3
90,90.0,36.1,24.4
91,91.0,36.1,24.6
92,92.0,36.8,24.8
93,93.0,37.4,24.9
94,94.0,38.0,25.1
95,95.0,38.6,25.3
96,96.0,39.2,25.5
97,97.0,39.8,25.5
98,98.0,39.8,25.6
99,99.0,39.8,25.8
100,100.0,41.0,26.0
101,101.0,41.6,26.2
102,102.0,41.6,26.4
103,103.0,42.7,26.5
104,104.0,43.3,26.7
105,105.0,43.3,26.7
106,106.0,43.9,26.9
107,107.0,44.5,27.1
108,108.0,45.1,27.2
109,109.0,45.1,27.4
110,110.0,46.1,27.6
111,111.0,46.7,27.6
112,112.0,46.7,27.8
113,113.0,46.7,28.0
114,114.0,47.8,28.1
115,115.0,48.4,28.3
116,116.0,49.0,28.5
117,117.0,49.0,28.6
118,118.0,50.0,28.8
119,119.0,50.0,28.8
120,120.0,50.8,28.9
121,121.0,50.8,29.1
122,122.0,51.6,29.3
123,123.0,51.6,29.4
124,124.0,52.6,29.6
125,125.0,52.6,29.8
126,126.0,53.6,29.9
127,127.0,53.6,29.9
128,128.0,54.5,30.1
129,129.0,54.5,30.3
130,130.0,55.2,30.4
131,131.0,55.2,30.6
132,132.0,56.1,30.7
133,133.0,56.1,30.9
134,134.0,57.1,31.1
135,135.0,57.1,31.1
136,136.0,57.7,31.2
137,137.0,57.7,31.4
138,138.0,58.6,31.6
139,139.0,58.6,31.7
140,140.0,59.6,31.9
141,141.0,59.6,31.9
142,142.0,60.4,32.0
143,143.0,60.4,32.2
144,144.0,60.4,32.3
145,145.0,61.4,32.4
146,146.0,61.4,32.6
147,147.0,62.3,32.7
