,time,tc_1,tc_2
0,0.0,22.8,22.9
1,1.0,22.8,22.9
2,2.0,22.8,22.9
3,3.0,22.8,22.9
4,4.0,22.8,22.9
5,5.0,22.8,22.9
6,6.0,22.8,22.9
7,7.0,22.8,22.9
8,8.0,22.8,22.9
9,9.0,22.8,22.9
10,10.0,22.8,22.9
11,11.0,22.8,22.9
12,12.0,22.8,22.8
13,13.0,22.8,22.8
14,14.0,22.8,22.8
15,15.0,22.8,22.8
16,16.0,22.8,22.8
17,17.0,22.8,22.8
18,18.0,22.8,22.8
19,19.0,22.8,22.8
20,20.0,22.8,22.8
21,21.0,22.8,22.8
22,22.0,22.8,22.8
23,23.0,22.8,22.8
24,24.0,22.8,22.8
25,25.0,22.8,22.8
26,26.0,22.8,22.8
27,27.0,22.8,22.8
28,28.0,22.8,22.8
29,29.0,22.8,22.8
30,30.0,22.8,22.8
31,31.0,22.8,22.8
32,32.0,22.8,22.8
33,33.0,22.8,22.8
34,34.0,22.8,22.8
35,35.0,22.8,22.8
36,36.0,22.8,22.8
37,37.0,22.8,22.8
38,38.0,22.8,22.8
39,39.0,22.8,22.8
40,40.0,22.8,22.8
41,41.0,22.8,22.8
42,42.0,22.8,22.8
43,43.0,22.8,22.8
44,44.0,22.8,22.8
45,45.0,22.8,22.8
46,46.0,22.8,22.8
47,47.0,22.8,22.8
48,48.0,22.8,22.8
49,49.0,22.8,22.8
50,50.0,22.8,22.8
51,51.0,22.8,22.8
52,52.0,22.8,22.8
53,53.0,22.8,22.8
54,54.0,22.8,22.8
55,55.0,22.8,22.8
56,56.0,22.8,22.8
57,57.0,22.8,22.8
58,58.0,22.8,22.8
59,59.0,22.8,22.8
60,60.0,22.8,22.8
61,61.0,22.9,22.8
62,62.0,23.0,22.8
63,63.0,24.2,22.8
64,64.0,24.2,22.9
65,65.0,25.3,23.0
66,66.0,25.9,23.0
67,67.0,26.5,23.1
68,68.0,26.5,23.2
69,69.0,27.3,23.3
70,70.0,28.0,23.4
71,71.0,28.0,23.6
72,72.0,29.3,23.7
73,73.0,29.3,23.8
74,74.0,30.5,23.8
75,75.0,31.1,24.0
76,76.0,31.1,24.1
77,77.0,31.9,24.3
78,78.0,32.5,24.5
79,79.0,33.1,24.6
80,80.0,33.7,24.8
81,81.0,34.3,24.9
82,82.0,34.3,24.9
83,83.0,35.0,25.1
84,84.0,35.7,25.2
85,85.0,35.7,25.4
86,86.0,36.8,25.5
87,87.0,37.5,25.7
88,88.0,38.1,25.7
89,89.0,38.7,25.9
90,90.0,39.4,26.0
91,91.0,39.4,26.2
92,92.0,40.1,26.4
93,93.0,40.7,26.6
94,94.0,40.7,26.7
95,95.0,41.8,26.9
96,96.0,42.4,27.1
97,97.0,42.4,27.1
98,98.0,43.1,27.2
99,99.0,43.7,27.4
100,100.0,44.4,27.5
101,101.0,44.4,27.6
102,102.0,45.5,27.8
103,103.0,46.1,27.8
104,104.0,46.7,28.0
105,105.0,46.7,28.1
106,106.0,46.7,28.3
107,107.0,47.8,28.5
108,108.0,47.8,28.7
109,109.0,48.8,28.8
110,110.0,49.4,29.0
111,111.0,50.0,29.0
112,112.0,50.0,29.2
113,113.0,50.0,29.4
114,114.0,51.1,29.5
115,115.0,51.1,29.7
116,116.0,52.2,29.8
117,117.0,52.2,30.0
