,time,tc_1,tc_2
0,0.0,23.1,23.0
1,1.0,23.1,23.0
2,2.0,23.1,23.0
3,3.0,23.0,22.9
4,4.0,23.0,22.9
5,5.0,23.0,22.9
6,6.0,23.0,22.9
7,7.0,23.0,22.9
8,8.0,23.0,22.9
9,9.0,23.0,22.9
10,10.0,23.0,22.9
11,11.0,23.0,22.9
12,12.0,23.0,22.9
13,13.0,23.0,22.9
14,14.0,23.0,22.9
15,15.0,23.0,22.9
16,16.0,23.0,22.9
17,17.0,23.0,22.9
18,18.0,23.0,22.9
19,19.0,23.0,22.8
20,20.0,23.0,22.8
21,21.0,23.0,22.8
22,22.0,23.0,22.8
23,23.0,23.0,22.8
24,24.0,23.0,22.8
25,25.0,23.0,22.9
26,26.0,23.0,22.9
27,27.0,23.0,22.9
28,28.0,23.0,22.9
29,29.0,23.0,22.9
30,30.0,23.0,22.8
31,31.0,23.0,22.8
32,32.0,23.0,22.8
33,33.0,23.0,22.8
34,34.0,23.0,22.8
35,35.0,23.0,22.9
36,36.0,23.0,22.9
37,37.0,23.0,22.9
38,38.0,23.0,22.9
39,39.0,23.0,22.9
40,40.0,23.1,22.9
41,41.0,23.1,22.9
42,42.0,23.1,22.9
43,43.0,23.1,22.9
44,44.0,23.1,22.9
45,45.0,23.1,22.9
46,46.0,23.1,22.9
47,47.0,23.1,22.9
48,48.0,23.0,22.9
49,49.0,23.0,22.9
50,50.0,23.0,22.9
51,51.0,23.0,22.9
52,52.0,23.0,22.9
53,53.0,23.0,22.9
54,54.0,23.0,22.9
55,55.0,23.0,22.9
56,56.0,23.0,22.9
57,57.0,23.0,22.9
58,58.0,23.0,22.9
59,59.0,23.0,22.9
60,60.0,23.1,22.9
61,61.0,23.1,23.0
62,62.0,23.1,23.0
63,63.0,23.2,23.0
64,64.0,24.4,23.0
65,65.0,24.4,23.1
66,66.0,25.5,23.2
67,67.0,26.1,23.2
68,68.0,26.7,23.3
69,69.0,26.7,23.4
70,70.0,27.4,23.6
71,71.0,28.1,23.7
72,72.0,28.7,23.9
73,73.0,29.3,24.1
74,74.0,29.9,24.1
75,75.0,29.9,24.3
76,76.0,30.7,24.4
77,77.0,31.3,24.6
78,78.0,31.9,24.8
79,79.0,32.6,24.9
80,80.0,33.2,25.1
81,81.0,33.9,25.1
82,82.0,33.9,25.3
83,83.0,33.9,25.5
84,84.0,35.2,25.6
85,85.0,35.8,25.8
