,time,tc_1,tc_2
0,0.0,21.6,21.6
1,1.0,21.6,21.6
2,2.0,21.5,21.5
3,3.0,21.5,21.5
4,4.0,21.5,21.5
5,5.0,21.5,21.5
6,6.0,21.5,21.5
7,7.0,21.5,21.5
8,8.0,21.5,21.5
9,9.0,21.5,21.5
10,10.0,21.5,21.6
11,11.0,21.5,21.6
12,12.0,21.5,21.6
13,13.0,21.5,21.6
14,14.0,21.5,21.6
15,15.0,21.5,21.6
16,16.0,21.5,21.6
17,17.0,21.5,21.6
18,18.0,21.5,21.6
19,19.0,21.5,21.6
20,20.0,21.4,21.6
21,21.0,21.4,21.6
22,22.0,21.4,21.6
23,23.0,21.4,21.6
24,24.0,21.4,21.6
25,25.0,21.4,21.6
26,26.0,21.4,21.6
27,27.0,21.4,21.6
28,28.0,21.4,21.6
29,29.0,21.4,21.6
30,30.0,21.4,21.6
31,31.0,21.4,21.6
32,32.0,21.4,21.6
33,33.0,21.4,21.6
34,34.0,21.4,21.6
35,35.0,21.4,21.6
36,36.0,21.4,21.6
37,37.0,21.4,21.6
38,38.0,21.4,21.6
39,39.0,21.4,21.6
40,40.0,21.4,21.6
41,41.0,21.4,21.6
42,42.0,21.4,21.6
43,43.0,21.4,21.6
44,44.0,21.4,21.6
45,45.0,21.4,21.7
46,46.0,21.4,21.7
47,47.0,21.4,21.7
48,48.0,21.4,21.7
49,49.0,21.4,21.7
50,50.0,21.4,21.7
51,51.0,21.4,21.7
52,52.0,21.4,21.7
53,53.0,21.4,21.7
54,54.0,21.4,21.7
55,55.0,21.4,21.7
56,56.0,21.4,21.7
57,57.0,21.4,21.7
58,58.0,21.4,21.7
59,59.0,21.4,21.7
60,60.0,21.4,21.7
61,61.0,21.4,21.7
62,62.0,21.4,21.7
63,63.0,21.4,21.7
64,64.0,21.4,21.6
65,65.0,21.4,21.6
66,66.0,21.5,21.6
67,67.0,21.6,21.6
68,68.0,21.6,21.7
69,69.0,22.8,21.7
70,70.0,23.4,21.8
71,71.0,24.0,21.8
72,72.0,24.6,22.0
73,73.0,24.6,22.1
74,74.0,24.6,22.1
75,75.0,25.9,22.2
76,76.0,25.9,22.4
77,77.0,27.2,22.5
78,78.0,27.8,22.7
79,79.0,28.4,22.8
80,80.0,29.1,22.8
81,81.0,29.1,23.0
82,82.0,29.1,23.1
83,83.0,30.4,23.3
84,84.0,31.1,23.5
85,85.0,31.7,23.6
86,86.0,32.3,23.8
87,87.0,33.1,24.0
88,88.0,33.1,24.0
89,89.0,34.2,24.1
90,90.0,34.2,24.3
91,91.0,34.9,24.5
92,92.0,35.5,24.7
93,93.0,36.1,24.8
94,94.0,36.7,25.0
95,95.0,37.3,25.2
96,96.0,38.0,25.2
97,97.0,38.6,25.3
98,98.0,38.6,25.5
99,99.0,39.3,25.7
100,100.0,39.9,25.8
101,101.0,40.5,26.0
102,102.0,40.5,26.2
103,103.0,41.6,26.3
104,104.0,41.6,26.3
105,105.0,42.3,26.5
106,106.0,42.9,26.7
107,107.0,43.5,26.9
108,108.0,43.5,27.0
109,109.0,44.6,27.2
110,110.0,45.2,27.2
111,111.0,45.8,27.3
112,112.0,45.8,27.5
113,113.0,46.5,27.6
114,114.0,46.5,27.8
115,115.0,47.5,28.0
116,116.0,48.1,28.1
117,117.0,48.1,28.3
118,118.0,49.2,28.3
119,119.0,49.8,28.5
120,120.0,49.8,28.7
121,121.0,50.4,28.8
122,122.0,50.4,29.0
123,123.0,51.5,29.1
124,124.0,51.5,29.3
125,125.0,52.5,29.5
126,126.0,52.5,29.5
127,127.0,53.5,29.6
128,128.0,53.5,29.7
129,129.0,54.1,29.9
130,130.0,54.1,30.0
131,131.0,55.2,30.2
132,132.0,55.2,30.3
133,133.0,56.1,30.3
134,134.0,56.1,30.5
135,135.0,56.1,30.6
136,136.0,57.2,30.8
137,137.0,57.2,30.9
138,138.0,58.2,31.1
139,139.0,58.2,31.2
140,140.0,59.1,31.4
141,141.0,59.1,31.4
142,142.0,60.1,31.5
143,143.0,60.1,31.7
144,144.0,60.1,31.8
145,145.0,61.1,31.9
146,146.0,61.1,32.0
147,147.0,62.0,32.2
148,148.0,62.0,32.3
149,149.0,62.0,32.3
150,150.0,62.9,32.5
151,151.0,63.5,32.6
152,152.0,63.5,32.8
153,153.0,64.4,32.9
154,154.0,64.4,33.1
155,155.0,65.3,33.1
156,156.0,65.3,33.2
157,157.0,65.3,33.4
158,158.0,66.2,33.5
159,159.0,66.2,33.7
160,160.0,67.1,33.8
161,161.0,67.1,34.0
162,162.0,68.0,34.1
163,163.0,68.0,34.1
164,164.0,68.8,34.2
165,165.0,68.8,34.3
166,166.0,68.8,34.5
167,167.0,69.7,34.6
168,168.0,69.7,34.7
169,169.0,70.4,34.9
170,170.0,70.4,35.0
171,171.0,71.2,35.0
172,172.0,71.2,35.1
173,173.0,71.2,35.2
174,174.0,72.1,35.4
175,175.0,72.1,35.5
176,176.0,73.0,35.6
177,177.0,73.0,35.8
178,178.0,73.6,35.9
179,179.0,73.6,35.9
180,180.0,74.3,36.0
181,181.0,74.3,36.1
182,182.0,74.3,36.2
183,183.0,75.2,36.4
184,184.0,75.2,36.5
185,185.0,75.9,36.5
186,186.0,75.9,36.7
187,187.0,75.9,36.8
188,188.0,76.8,36.9
189,189.0,76.8,37.1
190,190.0,77.5,37.2
191,191.0,77.5,37.3
192,192.0,78.2,37.4
193,193.0,78.2,37.4
194,194.0,78.9,37.5
195,195.0,78.9,37.7
196,196.0,78.9,37.8
197,197.0,79.7,37.9
198,198.0,79.7,38.0
199,199.0,80.3,38.2
200,200.0,80.3,38.3
201,201.0,81.0,38.3
202,202.0,81.0,38.4
203,203.0,81.0,38.5
204,204.0,81.7,38.6
205,205.0,81.7,38.8
206,206.0,82.3,38.9
207,207.0,82.3,39.0
208,208.0,83.0,39.1
209,209.0,83.0,39.1
210,210.0,83.0,39.2
211,211.0,83.7,39.4
212,212.0,83.7,39.5
213,213.0,84.4,39.6
214,214.0,84.4,39.7
215,215.0,85.0,39.7
216,216.0,85.0,39.8
217,217.0,85.0,39.9
218,218.0,85.7,40.0
219,219.0,85.7,40.1
220,220.0,85.7,40.3
221,221.0,86.4,40.4
222,222.0,86.4,40.5
223,223.0,87.1,40.5
224,224.0,87.1,40.6
225,225.0,87.1,40.7
226,226.0,87.7,40.8
227,227.0,87.7,41.0
228,228.0,88.3,41.1
229,229.0,88.3,41.2
230,230.0,88.3,41.3
231,231.0,89.1,41.3
232,232.0,89.1,41.4
233,233.0,89.1,41.5
234,234.0,89.7,41.6
235,235.0,89.7,41.7
236,236.0,90.5,41.8
237,237.0,90.5,41.9
238,238.0,90.5,42.1
239,239.0,90.5,42.1
240,240.0,91.1,42.2
241,241.0,91.1,42.3
242,242.0,91.7,42.3
243,243.0,91.7,42.4
244,244.0,91.7,42.6
245,245.0,92.5,42.6
246,246.0,92.5,42.7
247,247.0,92.5,42.8
248,248.0,92.5,42.9
249,249.0,93.3,43.0
250,250.0,93.3,43.1
251,251.0,93.3,43.2
252,252.0,94.1,43.3
253,253.0,94.1,43.3
254,254.0,94.1,43.4
255,255.0,94.1,43.6
256,256.0,94.9,43.7
257,257.0,94.9,43.8
258,258.0,94.9,44.0
259,259.0,95.6,44.1
260,260.0,95.6,44.2
261,261.0,95.6,44.2
262,262.0,96.4,44.3
263,263.0,96.4,44.4
264,264.0,96.4,44.5
265,265.0,96.4,44.6
266,266.0,97.2,44.7
267,267.0,97.2,44.8
268,268.0,97.2,44.9
269,269.0,97.2,44.9
270,270.0,97.9,45.0
271,271.0,97.9,45.1
272,272.0,97.9,45.2
273,273.0,98.5,45.3
274,274.0,98.5,45.4
275,275.0,98.5,45.4
276,276.0,99.2,45.5
277,277.0,99.2,45.6
278,278.0,99.2,45.7
279,279.0,99.2,45.9
280,280.0,99.9,46.0
281,281.0,99.9,46.1
282,282.0,99.9,46.2
283,283.0,100.6,46.2
284,284.0,100.6,46.3
285,285.0,100.6,46.4
286,286.0,100.6,46.5
287,287.0,101.3,46.6
288,288.0,101.3,46.7
289,289.0,101.3,46.8
290,290.0,102.0,46.9
291,291.0,102.0,46.9
292,292.0,102.0,47.0
293,293.0,102.0,47.1
294,294.0,102.6,47.3
295,295.0,102.6,47.4
296,296.0,102.6,47.5
297,297.0,103.3,47.6
298,298.0,103.3,47.7
299,299.0,103.3,47.7
300,300.0,103.3,47.8
301,301.0,103.9,47.9
302,302.0,103.9,47.9
303,303.0,103.9,48.0
304,304.0,104.5,48.1
305,305.0,104.5,48.1
306,306.0,104.5,48.3
307,307.0,104.5,48.4
308,308.0,105.2,48.5
309,309.0,105.2,48.6
310,310.0,105.2,48.7
311,311.0,105.8,48.8
312,312.0,105.8,48.9
313,313.0,105.8,48.9
314,314.0,106.4,49.0
315,315.0,106.4,49.1
316,316.0,106.4,49.2
317,317.0,106.4,49.3
318,318.0,106.4,49.4
319,319.0,107.3,49.5
320,320.0,107.3,49.6
321,321.0,107.3,49.6
322,322.0,107.3,49.7
323,323.0,107.3,49.8
324,324.0,108.0,50.0
325,325.0,108.0,50.1
326,326.0,108.0,50.2
327,327.0,108.6,50.3
328,328.0,108.6,50.4
329,329.0,108.6,50.4
330,330.0,108.6,50.5
331,331.0,109.2,50.6
332,332.0,109.2,50.7
333,333.0,109.2,50.8
334,334.0,109.2,50.9
335,335.0,109.9,50.9
336,336.0,109.9,51.0
337,337.0,109.9,51.1
338,338.0,109.9,51.2
339,339.0,109.9,51.3
340,340.0,110.6,51.4
341,341.0,110.6,51.5
342,342.0,110.6,51.6
343,343.0,110.6,51.6
344,344.0,111.2,51.7
345,345.0,111.2,51.8
346,346.0,111.2,51.9
347,347.0,111.2,52.0
348,348.0,111.2,52.1
349,349.0,111.9,52.2
350,350.0,111.9,52.3
351,351.0,111.9,52.3
352,352.0,111.9,52.4
353,353.0,111.9,52.4
354,354.0,112.5,52.5
355,355.0,112.5,52.6
356,356.0,112.5,52.7
357,357.0,112.5,52.8
358,358.0,113.2,52.9
359,359.0,113.2,52.9
360,360.0,113.2,53.0
361,361.0,113.2,53.2
362,362.0,113.2,53.3
363,363.0,113.9,53.4
364,364.0,113.9,53.5
365,365.0,113.9,53.5
366,366.0,113.9,53.6
367,367.0,113.9,53.7
368,368.0,113.9,53.8
369,369.0,113.8,53.9
370,370.0,113.7,53.9
371,371.0,113.6,54.0
372,372.0,113.3,54.0
373,373.0,113.0,54.0
