,Unnamed: 0,time,tc_1,tc_2
0,0,0.0,21.279993833659727,21.248185697868713
1,1,1.0,21.288486615037424,21.246954356357946
2,2,2.0,21.295253644448852,21.245900094194315
3,3,3.0,21.300444853821052,21.245053856200332
4,4,4.0,21.304216994524136,21.244452303980975
5,5,5.0,21.3067295465492,21.24413413323349
6,6,6.0,21.308140581342187,21.244140943408265
7,7,7.0,21.308603221226974,21.244516595407866
8,8,8.0,21.308262956068585,21.245305346441217
9,9,9.0,21.307256061454062,21.24654900381829
10,10,10.0,21.305709154203065,21.248287752859387
11,11,11.0,21.30373987032785,21.25055108011254
12,12,12.0,21.301458494087576,21.253358622718224
13,13,13.0,21.298970387029136,21.256716928312287
14,14,14.0,21.296378885424062,21.26061766133084
15,15,15.0,21.293788414742906,21.265036233160973
16,16,16.0,21.291307452428182,21.26993176650147
17,17,17.0,21.289051008588807,21.275248022503405
18,18,18.0,21.287142256122863,21.28091077229383
19,19,19.0,21.285712995658358,21.286835451296625
20,20,20.0,21.2849026301535,21.292924557466566
21,21,21.0,21.284855404892227,21.29907044398436
22,22,22.0,21.285715660457427,21.30515631946184
23,23,23.0,21.287621116703658,21.311057525649684
24,24,24.0,21.290693983611277,21.316642585048207
25,25,25.0,21.295030183036634,21.321774566997277
26,26,26.0,21.300686828974225,21.326312281684096
27,27,27.0,21.307668410906413,21.33011198654563
28,28,28.0,21.31591223076068,21.3330290538621
29,29,29.0,21.32527389250372,21.334920201242824
30,30,30.0,21.335513761167014,21.335645987575163
31,31,31.0,21.34628547986026,21.33507364382937
32,32,32.0,21.357127846756637,21.333080571229814
33,33,33.0,21.367461464847274,21.329557842615685
34,34,34.0,21.376591530586243,21.32441476406937
35,35,35.0,21.383718373323703,21.31758354925146
36,36,36.0,21.387957072595263,21.30902365493596
37,37,37.0,21.388367465853122,21.29872758301963
38,38,38.0,21.383995598436027,21.286726623668084
39,39,39.0,21.373927062811227,21.27309605526618
40,40,40.0,21.357352604372853,21.257960848459934
41,41,41.0,21.333645232200038,21.24150131180697
42,42,42.0,21.302447709463788,21.223958051398178
43,43,43.0,21.26376811684302,21.205636874751274
44,44,44.0,21.218080503465032,21.186912531442758
45,45,45.0,21.166426377753503,21.16823190237134
46,46,46.0,21.11051191547071,21.15011579269937
47,47,47.0,21.052794776529744,21.133159436387515
48,48,48.0,20.996553544216216,21.118031659764846
49,49,49.0,20.945932329548352,21.105471746940186
50,50,50.0,20.905952684558525,21.096284617710566
51,51,51.0,20.88248521854099,21.09133274333672
52,52,52.0,20.88217407815225,21.09153063452245
53,53,53.0,20.91230876760939,21.097827044123118
54,54,54.0,20.98064017333241,21.11119597632885
55,55,55.0,21.09514052571671,21.132620683264197
56,56,56.0,21.263711513313734,21.16307827138706
57,57,57.0,21.493849634689173,21.203522377535283
58,58,58.0,21.792284350804987,21.254865778898534
59,59,59.0,22.164612048260693,21.31796206545718
60,60,60.0,22.61495714996868,21.393587627406262
61,61,61.0,23.14570320335709,21.48242511333624
62,62,62.0,23.75733474269768,21.58504365920318
63,63,63.0,24.448442933530853,21.70189180014408
64,64,64.0,25.21585125909038,21.8332803959526
65,65,65.0,26.054827340486682,21.979373369450915
66,66,66.0,26.95934057340632,22.140192991498175
67,67,67.0,27.922316120345048,22.315605718751712
68,68,68.0,28.935976987614765,22.505334105798944
69,69,69.0,29.99219737189628,22.70895864066008
70,70,70.0,31.08285251391762,22.92593151635089
