,time,tc_1,tc_2
0,0.0,22.0,21.9
1,1.0,22.0,21.9
2,2.0,22.0,21.9
3,3.0,22.0,21.9
4,4.0,22.0,21.9
5,5.0,22.0,21.9
6,6.0,21.9,21.9
7,7.0,21.9,21.9
8,8.0,21.9,21.9
9,9.0,21.9,21.9
10,10.0,21.9,21.9
11,11.0,21.9,21.9
12,12.0,21.9,21.9
13,13.0,21.9,21.9
14,14.0,22.0,21.8
15,15.0,22.0,21.9
16,16.0,22.0,21.9
17,17.0,22.0,21.9
18,18.0,22.0,21.9
19,19.0,22.0,21.9
20,20.0,21.9,21.9
21,21.0,21.9,21.9
22,22.0,21.9,21.9
23,23.0,21.9,21.9
24,24.0,21.9,21.9
25,25.0,21.9,21.9
26,26.0,21.9,21.9
27,27.0,21.9,21.9
28,28.0,21.9,21.9
29,29.0,21.9,21.9
30,30.0,21.9,21.9
31,31.0,21.9,21.9
32,32.0,21.9,21.9
33,33.0,21.9,21.9
34,34.0,21.9,21.9
35,35.0,21.9,21.9
36,36.0,21.9,21.9
37,37.0,21.9,21.8
38,38.0,21.9,21.8
39,39.0,21.9,21.8
40,40.0,21.9,21.8
41,41.0,21.9,21.8
42,42.0,21.9,21.8
43,43.0,21.9,21.8
44,44.0,21.9,21.8
45,45.0,21.9,21.8
46,46.0,21.9,21.8
47,47.0,21.9,21.8
48,48.0,21.9,21.8
49,49.0,21.9,21.8
50,50.0,21.9,21.8
51,51.0,21.9,21.8
52,52.0,21.9,21.8
53,53.0,21.9,21.8
54,54.0,21.9,21.8
55,55.0,21.9,21.8
56,56.0,21.9,21.9
57,57.0,22.0,21.9
58,58.0,22.0,21.9
59,59.0,22.0,21.9
60,60.0,22.0,21.9
61,61.0,22.1,22.0
62,62.0,23.8,22.0
63,63.0,25.0,22.0
64,64.0,25.0,22.1
65,65.0,26.7,22.2
66,66.0,28.3,22.3
67,67.0,30.0,22.6
68,68.0,31.6,22.8
69,69.0,33.5,23.2
70,70.0,35.3,23.2
71,71.0,36.9,23.6
72,72.0,36.9,24.0
73,73.0,39.2,24.5
74,74.0,41.0,25.0
75,75.0,42.8,25.5
76,76.0,44.7,25.9
77,77.0,46.4,28.0
78,78.0,46.4,28.0
79,79.0,48.6,28.0
80,80.0,50.4,29.1
81,81.0,52.2,29.1
82,82.0,54.0,30.0
83,83.0,55.8,30.0
84,84.0,57.6,30.0
85,85.0,59.4,31.0
86,86.0,59.4,31.6
87,87.0,61.6,31.6
88,88.0,63.3,32.6
89,89.0,65.1,32.6
90,90.0,66.8,33.5
91,91.0,68.6,34.1
92,92.0,70.3,34.1
93,93.0,72.0,34.1
94,94.0,72.0,35.1
95,95.0,74.1,35.1
96,96.0,75.9,36.2
97,97.0,77.6,36.2
98,98.0,79.3,37.0
99,99.0,81.0,37.0
100,100.0,82.7,37.0
101,101.0,84.3,38.1
102,102.0,84.3,38.1
103,103.0,86.3,39.0
104,104.0,88.0,39.0
105,105.0,89.7,39.9
106,106.0,91.3,39.9
107,107.0,92.8,40.8
108,108.0,92.8,40.8
109,109.0,94.7,40.8
110,110.0,96.3,41.8
111,111.0,98.0,41.8
112,112.0,99.4,42.6
113,113.0,101.1,42.6
114,114.0,102.6,42.6
115,115.0,104.1,43.5
116,116.0,104.1,43.5
117,117.0,105.9,44.4
118,118.0,107.4,44.4
119,119.0,109.0,45.2
120,120.0,110.4,45.2
121,121.0,111.9,46.0
122,122.0,113.4,46.0
123,123.0,114.8,46.0
124,124.0,114.8,46.9
125,125.0,116.5,46.9
126,126.0,118.0,47.6
127,127.0,119.4,47.6
128,128.0,120.7,48.4
129,129.0,122.2,48.4
130,130.0,123.5,48.4
131,131.0,124.8,49.2
132,132.0,124.8,49.2
133,133.0,126.5,49.9
134,134.0,127.8,49.9
135,135.0,129.1,50.7
136,136.0,130.4,50.7
137,137.0,131.7,51.3
138,138.0,131.7,51.3
139,139.0,133.2,51.3
140,140.0,134.6,52.1
141,141.0,135.8,52.1
142,142.0,137.1,52.8
143,143.0,138.3,52.8
144,144.0,139.6,52.8
145,145.0,140.8,53.5
146,146.0,140.8,53.5
147,147.0,142.3,54.2
148,148.0,143.4,54.2
149,149.0,144.7,54.9
