,time,tc_1,tc_2
0,0.0,21.8,21.5
1,1.0,21.8,21.5
2,2.0,21.8,21.5
3,3.0,21.7,21.5
4,4.0,21.7,21.5
5,5.0,21.7,21.5
6,6.0,21.6,21.5
7,7.0,21.6,21.5
8,8.0,21.6,21.5
9,9.0,21.6,21.5
10,10.0,21.6,21.4
11,11.0,21.6,21.4
12,12.0,21.6,21.4
13,13.0,21.6,21.4
14,14.0,21.6,21.4
15,15.0,21.6,21.4
16,16.0,21.6,21.4
17,17.0,21.6,21.4
18,18.0,21.6,21.5
19,19.0,21.6,21.5
20,20.0,21.6,21.5
21,21.0,21.6,21.5
22,22.0,21.6,21.5
23,23.0,21.6,21.5
24,24.0,21.6,21.5
25,25.0,21.6,21.5
26,26.0,21.6,21.5
27,27.0,21.6,21.5
28,28.0,21.6,21.5
29,29.0,21.6,21.5
30,30.0,21.6,21.5
31,31.0,21.6,21.5
32,32.0,21.6,21.5
33,33.0,21.6,21.5
34,34.0,21.6,21.5
35,35.0,21.6,21.5
36,36.0,21.6,21.5
37,37.0,21.6,21.5
38,38.0,21.6,21.5
39,39.0,21.6,21.5
40,40.0,21.6,21.5
41,41.0,21.6,21.5
42,42.0,21.6,21.5
43,43.0,21.6,21.5
44,44.0,21.6,21.5
45,45.0,21.6,21.5
46,46.0,21.6,21.5
47,47.0,21.6,21.5
48,48.0,21.6,21.5
49,49.0,21.6,21.5
50,50.0,21.6,21.5
51,51.0,21.6,21.5
52,52.0,21.6,21.5
53,53.0,21.6,21.5
54,54.0,21.6,21.5
55,55.0,21.6,21.5
56,56.0,21.6,21.5
57,57.0,21.6,21.5
58,58.0,21.6,21.5
59,59.0,21.6,21.5
60,60.0,21.6,21.5
61,61.0,21.6,21.5
62,62.0,22.8,21.5
63,63.0,24.0,21.6
64,64.0,25.4,21.7
65,65.0,27.0,21.9
66,66.0,28.7,21.9
67,67.0,30.4,23.4
68,68.0,30.4,23.4
69,69.0,32.5,24.4
70,70.0,34.3,24.4
71,71.0,36.1,25.4
72,72.0,37.9,25.4
